product_id,product_name,category,brand,price,stock_quantity
P1001,Wireless Mouse,Widget,TechPro,24.99,120
P1002,Bluetooth Speaker,Gadget,SoundMax,49.99,85
P1003,USB-C Cable,Doohickey,CableX,9.99,300
P1004,Mechanical Keyboard,Widget,KeyMaster,79.99,45
P1005,Laptop Stand,Gizmo,OfficeEase,34.99,60
P1006,HD Webcam,Gadget,VisionTech,59.99,70
P1007,Portable SSD,Gizmo,StoragePlus,129.99,40
P1008,Wireless Charger,Doohickey,ChargeIt,29.99,95
P1009,Gaming Headset,Widget,GameZone,89.99,55
P1010,Smart Watch,Gadget,FitTime,199.99,30
P1011,Power Bank,Doohickey,PowerCore,39.99,110
P1012,LED Desk Lamp,Gizmo,BrightLite,27.99,75
P1013,Noise Cancelling Earbuds,Gadget,AudioPro,149.99,65
P1014,External Hard Drive,Gizmo,DataSafe,99.99,50
P1015,Wireless Router,Widget,NetFast,119.99,35
P1016,Monitor Arm,Doohickey,FlexMount,54.99,80
P1017,Graphic Tablet,Gizmo,CreativeInk,159.99,20
P1018,Smart Plug,Gadget,HomeSmart,19.99,140
P1019,USB Hub,Doohickey,ConnectPro,22.99,125
P1020,4K Monitor,Widget,DisplayMax,299.99,18
